SurfaceDateTime(local),Spot,Underlying,IsFx,Default Fit,Object for Under,Model,Start Date,End Date,Var from Surface (0 Basis),Var from surface + (T-1) Basis,,Var from Surface (0 Basis),Marked Var,Marked Var,Marked Basis,,,Leader/Follower,,Old Marked Var Fn,New Market Var Fn,
 4/1/2016 11:14:25 AM   _3335,6146.05,UKX,Eq,SVI, UKX   _3057,SVI,,4/15/2016,15.9%,#VALUE!,,15.0%,,15.94%,1.0%,,UKX,Leader,,,15.94%,0.00%
 4/1/2016 11:14:25 AM   _3336,6146.05,UKX,Eq,SVI, UKX   _3059,SVI,,6/17/2016,19.1%,#VALUE!,,18.5%,,19.73%,1.2%,,,Leader,,,19.73%,0.00%
 4/1/2016 11:14:25 AM   _3337,6146.05,UKX,Eq,SVI, UKX   _3058,SVI,,9/16/2016,22.2%,#VALUE!,,21.8%,,22.98%,1.2%,,,Leader,,,22.98%,0.00%
 4/1/2016 11:14:25 AM   _3338,6146.05,UKX,Eq,SVI, UKX   _3060,SVI,,12/16/2016,22.0%,#VALUE!,,21.7%,,23.16%,1.4%,,,Leader,,,23.16%,0.00%
 4/1/2016 11:14:25 AM   _3339,6146.05,UKX,Eq,SVI, UKX   _3061,SVI,,3/17/2017,21.4%,#VALUE!,,21.1%,,23.39%,2.3%,,,Leader,,,23.39%,0.00%
 4/1/2016 11:14:25 AM   _3340,6146.05,UKX,Eq,SVI, UKX   _3062,SVI,,6/16/2017,22.2%,#VALUE!,,22.4%,,23.55%,1.2%,,,Leader,,,23.55%,0.00%
 4/1/2016 11:14:25 AM   _3341,6146.05,UKX,Eq,SVI, UKX   _3064,SVI,,9/15/2017,22.6%,#VALUE!,,22.7%,,23.61%,0.9%,,,Leader,,,23.61%,0.00%
 4/1/2016 11:14:25 AM   _3342,6146.05,UKX,Eq,SVI, UKX   _3063,SVI,,12/15/2017,22.8%,#VALUE!,,22.8%,,24.00%,1.2%,,,Leader,,,24.00%,0.00%
 4/1/2016 11:14:25 AM   _3343,6146.05,UKX,Eq,SVI, UKX   _3066,SVI,,6/15/2018,23.0%,#VALUE!,,22.9%,,24.14%,1.2%,,,Leader,,,24.14%,0.00%
 4/1/2016 11:14:25 AM   _3344,6146.05,UKX,Eq,SVI, UKX   _3065,SVI,,12/21/2018,23.1%,#VALUE!,,23.1%,,24.36%,1.3%,,,Leader,,,24.36%,0.00%
 4/1/2016 11:14:25 AM   _3345,6146.05,UKX,Eq,SVI, UKX   _3067,SVI,,6/21/2019,23.3%,#VALUE!,,23.2%,,24.64%,1.4%,,,Leader,,,24.64%,0.00%
 4/1/2016 11:14:25 AM   _3346,6146.05,UKX,Eq,SVI, UKX   _3068,SVI,,12/20/2019,23.4%,#VALUE!,,23.4%,,24.87%,1.5%,,,Leader,,,24.87%,0.00%
 4/1/2016 4:00:00 PM   _3347,0.764,AUDUSD WMCO,FX,SVI, AUDUSD WMCO   _3069,SVI,,6/18/2016,12.6%,#VALUE!,,12.7%,,12.83%,0.1%,,AUDUSD WMCO,Leader,,,12.83%,0.00%
#VALUE!,#VALUE!,CLM6,Eq,#VALUE!,#VALUE!,#VALUE!,,5/17/2016,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,CLM6,Leader,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,CLZ7,Eq,#VALUE!,#VALUE!,#VALUE!,,11/15/2017,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,CLZ7,Leader,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,DEDZ6,Eq,#VALUE!,#VALUE!,#VALUE!,,12/16/2016,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,DEDZ6,Leader,,,#VALUE!,#VALUE!
